# WL(nm)	 Flux(ergs/cm**2/s/nm)
97.749944	 8.07E+02
97.849944	 8.07E+02
97.949944	 8.07E+02
98.049944	 8.07E+02
98.149944	 8.07E+02
98.249944	 8.07E+02
98.349944	 8.07E+02
98.449944	 8.07E+02
98.549944	 8.07E+02
98.649944	 8.07E+02
98.749944	 8.07E+02
98.849944	 8.07E+02
98.949944	 8.07E+02
99.049944	 8.07E+02
99.149944	 8.07E+02
99.249944	 8.07E+02
99.349944	 8.07E+02
99.449944	 8.07E+02
99.549944	 8.07E+02
99.649944	 8.07E+02
99.749944	 8.07E+02
99.849944	 8.07E+02
99.949944	 8.07E+02
100.049944	 8.07E+02
100.149944	 8.07E+02
100.249944	 8.07E+02
100.349944	 8.07E+02
100.449944	 8.07E+02
100.549944	 8.07E+02
100.649944	 8.07E+02
100.749944	 8.07E+02
100.849944	 8.07E+02
100.949944	 8.07E+02
101.049944	 8.07E+02
101.149944	 8.07E+02
101.249944	 8.07E+02
101.349944	 8.07E+02
101.449944	 8.07E+02
101.549944	 8.07E+02
101.649944	 8.07E+02
101.749944	 8.07E+02
101.849944	 8.07E+02
101.949944	 8.07E+02
102.049944	 8.07E+02
102.149944	 8.07E+02
102.249944	 8.07E+02
102.349944	 8.07E+02
102.449944	 8.07E+02
102.549944	 8.07E+02
102.649944	 8.07E+02
102.749944	 8.07E+02
102.849944	 8.07E+02
102.949944	 8.07E+02
103.049944	 8.07E+02
103.149944	 8.07E+02
103.249944	 8.07E+02
103.349944	 8.07E+02
103.449944	 8.07E+02
103.549944	 8.07E+02
103.649944	 8.07E+02
103.749944	 8.07E+02
103.849944	 8.07E+02
103.949944	 8.07E+02
104.049944	 8.07E+02
104.149944	 8.07E+02
104.249944	 8.07E+02
104.349944	 8.07E+02
104.449944	 8.07E+02
104.549944	 8.07E+02
104.649944	 8.07E+02
104.749944	 8.07E+02
104.849944	 8.07E+02
104.949944	 8.07E+02
105.049944	 8.07E+02
105.149944	 8.07E+02
105.249944	 8.07E+02
105.349944	 8.07E+02
105.449944	 8.07E+02
105.549944	 8.07E+02
105.649944	 8.07E+02
105.749944	 8.07E+02
105.849944	 8.07E+02
105.949944	 8.07E+02
106.049944	 8.07E+02
106.149944	 8.07E+02
106.249944	 8.07E+02
106.349944	 8.07E+02
106.449944	 8.07E+02
