Wavelength (nm)	Flux (ergs/cm^2/s/nm)
128.55	21.4565
128.64999999999998	19.1089
128.75	2.2348600000000003
128.85	49.75860000000001
128.95000000000002	29.194200000000002
129.05	31.605900000000002
129.14999999999998	0.49526600000000004
129.25	61.490700000000004
129.35	76.4502
129.45000000000002	57.048
129.55	2.12558
129.64999999999998	29.1004
129.75	8.75871
129.85	91.88430000000001
129.95000000000002	65.46040000000002
130.05	22.7607
130.14999999999998	34.0685
130.25	12.368300000000001
130.35	73.99340000000001
130.45000000000002	10.1531
130.55	9.956190000000001
130.64999999999998	19.634100000000004
130.75	31.198
130.85	29.542
130.95000000000002	139.272
131.05	25.057900000000004
131.14999999999998	62.509100000000004
131.25	24.018300000000004
131.35	32.03980000000001
131.45000000000002	11.559000000000001
131.55	23.7876
131.64999999999998	24.799400000000002
131.75	24.1904
131.85	27.6624
131.95000000000002	43.301
132.05	36.038
132.14999999999998	25.501900000000003
132.25	25.4201
132.35	46.8734
132.45000000000002	19.607200000000002
132.55	30.1935
132.64999999999998	7.4540500000000005
132.75	69.4388
132.85	7.3333200000000005
132.95000000000002	118.271
133.05	273.147
133.14999999999998	10.2969
133.25	5.78058
133.35	270.109
133.45000000000002	1366.55
133.55	3482.54
133.64999999999998	162.454
133.75	26.7027
133.85	27.355700000000002
133.95000000000002	20.6278
134.05	0.705717
134.14999999999998	259.925
134.25	263.737
134.35	263.448
134.45	0.931523
134.55	196.65800000000002
134.65	23.037800000000004
134.75	23.966400000000004
134.85	16.6106
134.95	48.9363
135.05	21.645600000000005
135.15	86.5525
135.25	20.0762
135.35	14.866
135.45	15.869700000000002
135.55	10.1425
135.65	43.119800000000005
135.75	17.492
135.85	18.1394
135.95	21.6643
136.05	51.738400000000006
136.15	26.4587
136.25	8.10012
136.35	6.3121100000000006
136.45	53.098
136.55	11.056300000000002
136.65	17.6383
136.75	8.554060000000002
136.85	11.0377
136.95	67.8893
